#,Título do Vídeo,Link YouTube,Categoria,IA Usada,Canal,Língua,Data de Publicação,Visualizações (verificar no YT),Notas
1,How To Use Claude AI To Build A Website 2025,https://www.youtube.com/watch?v=GY8opNDcJY4,Claude,Claude AI,Verificar no YT,Inglês,Jun 2025,Verificar no YT,Tutorial completo passo a passo para iniciantes
2,How to Build a Website Using Claude AI (Updated 2025),https://www.youtube.com/watch?v=kkfn3ZiKnNg,Claude,Claude AI,Verificar no YT,Inglês,Nov 2025,Verificar no YT,Versão actualizada com Claude 2025
3,Claude Code for Beginners — Build Your First App with AI (No Coding Required!),https://www.youtube.com/watch?v=s-Mc26Ytz10,Claude,Claude Code,Verificar no YT,Inglês,Fev 2026,Verificar no YT,App web completa sem escrever uma linha de código
4,How To Use Claude AI To Build A Website: No-Code Site Tutorial,https://www.youtube.com/watch?v=lLp-jC_ezA4,Claude,Claude AI,Verificar no YT,Inglês,Mar 2026,Verificar no YT,Tutorial no-code focado em resultado profissional
5,I Built an Entire Website with Claude Code… Here's How,https://www.youtube.com/watch?v=SKBDC3QugZw,Claude,Claude Code,Verificar no YT,Inglês,Ago 2025,Verificar no YT,Landing page completa com Claude Code do zero
6,Complete guide to building out a website with Claude for Beginners,https://www.youtube.com/watch?v=YVzNA1XlVbQ,Claude,Claude AI,Verificar no YT,Inglês,Jan 2026,Verificar no YT,Guia completo para iniciantes - todo o processo revelado
7,How To Build A Website With Claude: (2026) Easy Tutorial,https://www.youtube.com/watch?v=wUD9lWKVMu8,Claude,Claude AI,Verificar no YT,Inglês,Mar 2026,Verificar no YT,Tutorial 2026 actualizado com passo a passo detalhado
8,Build & Host FREE Websites in 5 Minutes (Claude Code Full Tutorial!),https://www.youtube.com/watch?v=HSgxNuGBfPk,Claude,Claude Code,Brendan's AI Launchpad,Inglês,Mai 2026,Verificar no YT,Construção e hospedagem gratuita com Claude Code
9,Build Gorgeous Websites With Claude Code (FULL COURSE),https://www.youtube.com/watch?v=MCr0ej5c-QM,Claude,Claude Code,Verificar no YT,Inglês,Abr 2026,Verificar no YT,Curso completo de websites com Claude Code
10,Build $10,000 Websites using Claude Code (Ultimate Guide),https://www.youtube.com/watch?v=VMvZuhcDdnw,Claude,Claude Code,Verificar no YT,Inglês,Mai 2026,Verificar no YT,Guia definitivo para criar websites profissionais de valor elevado
11,Claude Code + 3D Animations: Build Client Ready Websites in Minutes,https://www.youtube.com/watch?v=AGHqBAVyrQs,Claude,Claude Code,Kirk M Design,Inglês,Jun 2026,Verificar no YT,Websites com animações 3D usando Claude Code
12,Claude Design Tutorial | Build Sites Faster Than Ever,https://www.youtube.com/watch?v=6OYgqv1Wxkg,Claude,Claude Design,Designing for Uncertainty,Inglês,Jun 2026,Verificar no YT,Tutorial Claude Design para designers e agências
13,How To Build A $10,000 Website In 30 Minutes (AI + No Code),https://www.youtube.com/watch?v=CGEjwCUcMHo,IA Geral,ChatGPT + outras IAs,Wes McDowell,Inglês,Nov 2024,500.000+,7 ferramentas de IA gratuitas para website profissional
14,Build a Full Stack Website with ChatGPT + AI | No Code Required | Complete Step-by-Step Tutorial,https://www.youtube.com/watch?v=j3D1IOpqGwk,IA Geral,ChatGPT,Verificar no YT,Inglês,Set 2025,Verificar no YT,Website full-stack completo sem código com ChatGPT
15,How to Build a Website With ChatGPT In 2024,https://www.youtube.com/watch?v=Kry6548MBFY,IA Geral,ChatGPT,Verificar no YT,Inglês,Jan 2024,Verificar no YT,Guia directo para construir website com ChatGPT
16,Build Your First AI Chatbot | Complete Guide 2024,https://www.youtube.com/watch?v=YzRwq3wSu6w,IA Geral,ChatGPT / API,Verificar no YT,Inglês,Mar 2024,Verificar no YT,Chatbot interactivo completo sem código avançado
17,Como criar um SITE com INTELIGÊNCIA ARTIFICIAL | Guia Completo,https://www.youtube.com/watch?v=pY6AncNPekk,IA Geral,IA múltipla,Verificar no YT,Português (BR),Jul 2024,Verificar no YT,Guia completo em Português para criar site com IA
18,COMO CRIAR UM SITE COMPLETO COM INTELIGÊNCIA ARTIFICIAL | Passo a Passo - 2024,https://www.youtube.com/watch?v=FciuDpPxKnQ,IA Geral,IA múltipla,Verificar no YT,Português (BR),Mar 2024,Verificar no YT,Tutorial completo passo a passo em Português 2024
19,Aprenda a CRIAR SITE COM IA (Inteligência Artificial) em apenas 15 minutos,https://www.youtube.com/watch?v=51YnYmdxxHk,IA Geral,Hostinger AI + ChatGPT,Leonardo (Hostinger),Português (BR),Mai 2023,Verificar no YT,Site profissional em 15 minutos com IA - afiliado Hostinger
20,Tutorial FRAMER: Como CRIAR um SITE com IA?,https://www.youtube.com/watch?v=IXCejzBC21Q,IA Geral,Framer AI,Verificar no YT,Português (BR),Dez 2023,Verificar no YT,Tutorial Framer com IA em Português - processo completo
